idea_id,idea_text,theme,intent,priority_score,status,mentions,source_count,sample_sources
IDEA-0567,"GROUP B — Decision Boundaries: - ""What decisions can a team member (or agent) make without checking with you? Where's the line?"" - ""What are the decisions that MUST be escalated? Not 'should' — must. What makes them non-delegable?"" - ""Is there a dollar amount, time commitment, or impact threshold that changes the decision authority?""",agent-workflow,decision,3.85,open,1,1,G:\repos\AI\RoadTrip\docs\natebjones-4-ai-skills.md
IDEA-0583,"<guardrails> - Quality criteria must be specific and observable — not subjective judgments like ""sounds natural"" but concrete checks like ""uses active voice in >80% of sentences"" or ""includes specific data points from the source material"" - The input prompt for each test case should be a refined, self-contained version of what the user shared — not their raw conversational prompt - Do not invent example inputs — use what the user provides, or ask for specifics if they're too vague - If the user's tasks are too varied to build consistent test cases (e.g., ""I use AI for everything""), help them narrow to the 3 most frequent and measurable tasks - Scoring rubric should be simple enough to use in under 2 minutes per test case — this needs to be fast to encourage regular use - Flag if any test case requires information the model wouldn't have (proprietary data, real-time info) and suggest how to handle that </guardrails> ``` ## Prompt 6: Constraint Architecture Designer Job: Takes a task you're about to delegate and systematically identifies the constraint architecture — musts, must-nots, preferences, and escalation triggers — that prevents the smart-but-wrong failure mode.",architecture-and-spec,problem,3.85,open,1,1,G:\repos\AI\RoadTrip\docs\natebjones-4-ai-skills.md
IDEA-0588,"<guardrails> - Every must-not should be tied to a specific, realistic failure mode — no speculative prohibitions - Preferences should reflect the user's actual judgment, not generic best practices - Escalation triggers should be specific enough to act on — ""escalate if unsure"" is not useful; ""escalate if the request involves a commitment beyond 30 days"" is useful - If the task is too simple to warrant full constraint architecture (e.g., ""summarize this article""), say so — suggest the user save this tool for higher-stakes delegation - Do not over-constrain — an excess of constraints is as bad as a deficit, because it leaves no room for the executor to apply judgment on truly novel situations - Ask follow-up questions in Phase 2 if the user's failure modes are too vague to encode as actionable constraints </guardrails> ```",agent-workflow,problem,3.85,open,1,1,G:\repos\AI\RoadTrip\docs\natebjones-4-ai-skills.md
IDEA-0857,"⭐ Direct Comparison Table Feature / Use Case Windscribe Tailscale Primary Purpose Privacy VPN, geo-unblocking Private mesh network, zero‑trust device access Traffic Routed Through Windscribe servers Direct peer-to-peer (WireGuard) Hides your IP online? ✔ Yes (public anonymity) impulsec ✘ No (not designed for this) Connects your own devices to each other? ✘ No ✔ Yes (mesh LAN) devsecopsschool Ideal for self‑hosting / internal apps? ✘ No ✔ Yes (core purpose) Zero‑trust identity access control? ✘ No ✔ Yes (ACLs, device trust) tailscale Ad blocking / tracker blocking ✔ R.O.B.E.R.T. filters cyberinsider ✘ Not included Unlimited devices ✔ Paid plan unlimited pcmag ✔ Free plan supports up to 100 devices Streaming unblocking ✔ Extensive Netflix/Hulu support work-management ✘ Not designed for streaming Server-based? ✔ You use Windscribe’s servers ✘ No servers; your devices connect directly Free tier 10GB/mo, limited servers acciyo Free for 3 users, 100 devices 🧠 Which One Should You Use? (Based on your architecture plans) Given your plans for:",architecture-and-spec,idea,3.85,open,1,1,G:\repos\AI\RoadTrip\docs\Tailscale for security.md
IDEA-0981,"Failures should seem fair: it’s clear what the agent got wrong and why. When scores don’t climb, we need confidence that it’s due to agent performance and not the eval. Reading transcripts is how you verify that your eval is measuring what actually matters, and is a critical skill for agent development.",agent-workflow,idea,3.85,open,1,1,G:\repos\AI\RoadTrip\evaluation\Demystifying_evals_for_AI_agents.md
IDEA-1037,"## 1) Executive Summary RoadTrip should evolve from script-first skill execution toward a contract-first, registry-driven, multi-runtime assembly model. The core idea is to keep skill identity stable while allowing implementation migration (Python/PowerShell to C#) behind the same contractual interface.",agent-workflow,idea,3.85,open,1,1,G:\repos\AI\RoadTrip\governance\Trusted_Skill_Assembly_PRD.md
IDEA-1654,"| Metric | Description | Type | Units | Collection | Priority | |--------|-------------|------|-------|-----------|----------| | `error_pattern_id` | Unique hash of error signature | String | SHA256 hash | Post-exec | High | | `error_pattern_category` | Classification of error type | Enum | Environment, Syntax, Permission, Resource, API, Logic, Unknown | Post-exec | High | | `pattern_frequency_7d` | How often does this error occur (7-day window) | Integer | Count | Post-exec | **Critical** | | `pattern_should_be_blocked` | User's assessment: block this in future? | Boolean | true/false | User input | High | | `guardrail_active` | Is there a guardrail preventing this error? | Boolean | true/false | Post-exec | **Critical** | | `guardrail_configuration` | Details of guardrail (e.g., ""use py not python on Windows"") | String | Free text | Config | High | | `session_count_since_guardrail_added` | Sessions since guardrail was learned | Integer | Count | Post-exec | Medium | | `guardrail_prevented_errors_count` | How many times guardrail prevented this error | Integer | Count | Post-exec | Medium |",evaluation-and-quality,question,3.85,open,1,1,G:\repos\AI\RoadTrip\PromptTracking\Session Log 20260214.md
IDEA-1655,"| Metric | Description | Type | Units | Collection | Priority | |--------|-------------|------|-------|-----------|----------| | `user_feedback_action` | User response to decision (ACCEPT/REJECT/MODIFY) | Enum | Accept, Reject, Modify, NoGuidance | Post-exec | **Critical** | | `feedback_timestamp` | When did user provide feedback | ISO8601 | DateTime | User input | High | | `feedback_reason` | Why user accepted/rejected | String | Free text | User input | Medium | | `user_pressed_allow_for_workspace` | User clicked ""allow this for workspace"" button | Boolean | true/false | User input | High | | `user_pressed_dont_repeat_mistake` | User clicked ""don't make this mistake again"" | Boolean | true/false | User input | High | | `workspace_exception_added` | Exception rule added to workspace config | Boolean | true/false | Post-feedback | High | | `workspace_exception_config` | What exception was added | String | Config object | Post-feedback | High | ```",evaluation-and-quality,decision,3.85,open,1,1,G:\repos\AI\RoadTrip\PromptTracking\Session Log 20260214.md
IDEA-1684,That should be a wide enough net (I must have fishing on my mind.) to get some lists.,general,idea,3.85,open,1,1,G:\repos\AI\RoadTrip\PromptTracking\Session Log 20260214.md
IDEA-1921,"- For the prompt test, open the RoadTrip workspace in Claude Code and run: `push all my changes` (or `push my changes`). - If Claude shows `Ask Permissions`, approve the tool/action request so it can run git commands. - To avoid ever looking up your GitHub password, set token-based auth once: - `git config --global credential.helper manager-core` - Store/use your PAT (or set user env vars `GITHUB_TOKEN` and `GH_TOKEN`). - After changing PAT/env vars, restart Claude Code Desktop so it picks up the new auth context. - With the hardening we added, missing creds should now fail fast (non-interactive) instead of hanging on password dialogs.",memory-and-context,idea,3.85,open,1,1,G:\repos\AI\RoadTrip\PromptTracking\Session Log 20260217.md
IDEA-2005,"**UI/UX direction (good next step)** - Adopt a policy: all potentially mutating scripts must default to read-only and require explicit opt-in flags. - Mark internals by convention (for example, “internal”/“dangerous” command group) and expose safe wrappers for normal users. - If you want, I can add a small “safe CLI contract” doc + lint-style checker to flag scripts that violate this pattern.",ui-and-experience,idea,3.85,open,1,1,G:\repos\AI\RoadTrip\PromptTracking\Session Log 20260218.md
IDEA-2006,"## I totally came up with the same conclusion in the (good next step) before I even read it. The registry is a critical part of our infrastructure. Maybe the answer is that access to it should be limited to ReadOnly and manipulating it is left to the system. ## Thought exeriment - one of our tests for any python script should be what happens if the someone just runs it with no parameters. The result should be read only with an about statement. Like defaulting to --info. - that maybe should only apply to infrastructure scripts. - user oriented scripts would have a different path. - I am not making policy here, more like having a brainstorming session.",memory-and-context,idea,3.85,open,1,1,G:\repos\AI\RoadTrip\PromptTracking\Session Log 20260218.md
IDEA-2007,"**Strong Policy Shape** - Split scripts into two classes: `infrastructure` and `user-facing`. - For infrastructure scripts, no-arg behavior should always be read-only (`about/info`), never mutate state. - For user-facing scripts, no-arg can be help or guided UX, but still must not do destructive actions by default.",memory-and-context,idea,3.85,open,1,1,G:\repos\AI\RoadTrip\PromptTracking\Session Log 20260218.md
IDEA-2062,"## Comments 1. Gating: agreed a fail-fast mentality is critical. Failures are a feature, not a defect. 2. Testing and feedback should be throughout the process. 3. Good testing reqires metrics. I incorrectly omitted them. 4. Hypothesis and success metric are the result of the research. I don't know what don't know. That is the purpose of the research. 5. Adversaial review should also be done more often in the process. It is in a sense risk assesment, and exposes edge cases that can sink any product. (the Edsel effect)",evaluation-and-quality,decision,3.85,implemented,1,1,G:\repos\AI\RoadTrip\PromptTracking\Session Log 20260219.md
IDEA-2191,"* **Capability suite** (should start low, trend up). * **Regression suite** (should stay \~100% to catch backsliding). * **pass\@k** (can the agent succeed within *k* tries?) vs **pass^k** (does it succeed *consistently* across *k* trials?). Use **pass^k** for anything user‑facing/production‑critical. [\[bizcadsyst...epoint.com\]](https://bizcadsystemscom-my.sharepoint.com/personal/nstein_bizcadsystems_com/Documents/Microsoft%20Copilot%20Chat%20Files/Demystifying_evals_for_AI_agents.md)",agent-workflow,idea,3.85,open,1,1,G:\repos\AI\RoadTrip\PromptTracking\Session Log 20260227.md
IDEA-2515,**Estimated Effort**: 50-80 lines of code + 30-50 lines of tests **Blocker Status**: Non-critical (blog_publisher.py provides reference implementation) **Priority**: Can be done as first Phase 2a task OR deferred to Phase 2b,general,problem,3.85,implemented,1,1,G:\repos\AI\RoadTrip\workflows\004-bpublish-cli-integration\PHASE_1B_COMPLETION_AUDIT.md
IDEA-2536,"**Context**: - Phase 1b completes 5 core skills (rules-engine, auth-validator, telemetry-logger, commit-message, git-push-autonomous) - Research on Zero Trust, Intent-Based Access Control, Constitutional AI, and DyTopo topology - Need to support 10–50+ agents, 50–100+ skills, 1000+ daily invocations - Security-first mandate: ""If in doubt, block""",memory-and-context,idea,3.85,open,1,1,G:\repos\AI\RoadTrip\workflows\005-Skill-Trust-Capabilities\DECISION_RECORD_Phase2_Architecture.md
IDEA-2656,"### 5. **Phase 2b Scope: Depends on Critical Mass of Skills** ✅ NOTED **Clarification**: ""Automated Skill discovery (DyTopo topology) has to be dependent on some critical mass of skills. This concern is why I started thinking about skill acquisition as a parallel effort."" **Decision**: - Phase 2a goal: Fingerprint, verify, discover 5–10 initial skills (commit-message, git-push, session-log, etc.) - Phase 2b gate (May): Evaluate if skill acquisition (006 workflow) has yielded critical mass - If N > 20 trusted skills → unlock Phase 2b (DyTopo topology + semantic routing) - If N < 20 → defer Phase 2b to next quarter; focus on deepening Verifier + Constitutional improvements - Parallel effort: 006-Skill-Acquisition workflow is independent; feeds skills into Phase 2 Registry as generated",memory-and-context,decision,3.85,open,1,1,G:\repos\AI\RoadTrip\workflows\005-Skill-Trust-Capabilities\plan.md
IDEA-2670,### Monday 9:00 AM – Standup & Blocking Issues **Attendees**: Workstream owners + Lead **Duration**: 30 min **Agenda**: 1. (5 min) Last week's status: On track? Blockers? 2. (10 min) Critical issues: Do we need to unblock anyone? 3. (5 min) This week's priorities: What's each workstream starting? 4. (10 min) Dependency check: Any inter-team conflicts?,general,idea,3.85,open,1,1,G:\repos\AI\RoadTrip\workflows\005-Skill-Trust-Capabilities\PROCESS_GOVERNANCE.md
IDEA-2710,### Problem: Onboarding Blocker (Integration issue) **Who**: Onboarding engineer **Action**: @infrastructure-engineer in Slack **Timeline**: Pair troubleshooting within 24 hours **If critical**: Escalate to product lead (immediate),general,problem,3.85,open,1,1,G:\repos\AI\RoadTrip\workflows\006-Skill-Acquisition\PROCESS_GOVERNANCE.md
IDEA-2808,**Urgency Scoring** (1–5): - 5 = Critical path; blocks Phase 1 feature; needed by Mar 2026 - 4 = Important; Phase 2 feature; needed by May 2026 - 3 = Valuable; Phase 3+; opportunistic but solid - 2 = Nice-to-have; solves minor problem; lower priority - 1 = Interesting but not needed now,general,problem,3.85,open,1,1,G:\repos\AI\RoadTrip\workflows\006-Skill-Acquisition\VETTING_FRAMEWORK.md
IDEA-2842,"1. **Conservative by default**: In doubt, revert or ask human 2. **Audit trail first**: Log metrics before execution; log outcomes after; never lose observability 3. **Consequentialist reversibility**: Every optimization must preserve undoable *outcomes* (not necessarily the operations themselves) - You can clean up logs *if* archives are immutable and recoverable - You can reweight routing *if* historical data persists - You cannot delete information that enables recovery 4. **Multi-layer defense**: Guardrails + monitoring + alerts + human approval + rollback 5. **Transparent reasoning**: System should be able to explain its thinking (""Why did you suggest this optimization? What could go wrong?"") 6. **Bidirectional learning**: System learns from human guidance; system also advises human on patterns it observes 7. **Notification priority**: Visibility matters more than preventing all mistakes 8. **Resilience as culture**: Both human and system normalize mistakes and recovery 9. **Legacy-conscious**: Every decision considers long-term impact and whether successors can understand/reverse it",architecture-and-spec,decision,3.85,open,1,1,G:\repos\AI\RoadTrip\workflows\007-self-improvement\10K_FOOT_ARCHITECTURE.md
IDEA-2860,"2. **PRIORITIES_AND_ROADMAP_REFINED.md** (v1.0 - NEW) - Comprehensive integration of all feedback - Three horizons: NOW, SOON, LATER - Priority matrix: what builds when - Configurable reward function examples - Adversarial testing as core mechanism - RAG, Config UI, and Slow Mode as deferred features",ui-and-experience,idea,3.85,open,1,1,G:\repos\AI\RoadTrip\workflows\007-self-improvement\FEEDBACK_INTEGRATION_SUMMARY.md
IDEA-2863,"| Metric | Description | Type | Units | Collection | Priority | |--------|-------------|------|-------|-----------|----------| | `execution_succeeded` | Operation completed as intended | Boolean | true/false | Post-exec | **Critical** | | `execution_failed` | Operation completed but with errors | Boolean | true/false | Post-exec | **Critical** | | `partial_success` | Some objectives achieved, not all | Boolean | true/false | Post-exec | High | | `error_recoverable` | Error can be fixed by retry or fallback | Boolean | true/false | Post-exec | High | | `error_permanent` | Error requires human intervention | Boolean | true/false | Post-exec | High | | `timeout_occurred` | Execution exceeded max allowed time | Boolean | true/false | During | High | | `resource_exhausted` | Execution hit resource (memory, API quota) limit | Boolean | true/false | During | High | | `fallback_used` | Orchestrator fell back to conservative skill | Boolean | true/false | Post-exec | Medium |",memory-and-context,idea,3.85,implemented,1,1,G:\repos\AI\RoadTrip\workflows\007-self-improvement\METRICS_CATALOG.md
IDEA-2865,| Metric | Description | Params | Collection | Priority | |--------|-------------|--------|-----------|----------| | `success_rate_1h` | % of executions that succeeded (last 1 hour) | Rolling window | Post-exec (continually) | **Critical** | | `success_rate_1d` | % of executions that succeeded (last 24 hours) | Rolling window | Post-exec (daily) | **Critical** | | `success_rate_7d` | % of executions that succeeded (last 7 days) | Rolling window | Post-exec (weekly) | High | | `mean_time_between_failures` | Average time between consecutive failures | Statistic | Hours | Post-exec (rolling) | High | | `failure_recovery_time` | Average time from failure to recovery | Statistic | Minutes | Post-exec (rolling) | Medium | | `consecutive_failures_max` | Longest streak of failures (current session) | Integer | Count | Post-exec (per-session) | High |,memory-and-context,idea,3.85,open,1,1,G:\repos\AI\RoadTrip\workflows\007-self-improvement\METRICS_CATALOG.md
IDEA-2866,"| Metric | Description | Type | Units | Collection | Priority | |--------|-------------|------|-------|-----------|----------| | `cost_usd` | Actual cost incurred for execution | Float | $ USD | Post-exec | **Critical** | | `cost_tier` | Which pricing tier was used | Enum | Free, Standard, Premium, Unknown | Post-exec | High | | `tokens_used` | Total tokens consumed (all models combined) | Integer | Count | Post-exec | **Critical** | | `tokens_input` | Input tokens only | Integer | Count | Post-exec | High | | `tokens_output` | Output tokens only | Integer | Count | Post-exec | High | | `cost_per_token` | Effective cost per token (includes batching overhead) | Float | $/token | Post-exec | Medium | | `free_tier_quota_remaining` | Estimated free tier quota remaining after execution | Integer | Count (tokens/calls) | Post-exec | **Critical** | | `free_tier_quota_pct_used` | % of daily/monthly free quota consumed | Float | 0-100% | Post-exec | **Critical** |",evaluation-and-quality,question,3.85,open,1,1,G:\repos\AI\RoadTrip\workflows\007-self-improvement\METRICS_CATALOG.md
IDEA-2868,| Metric | Description | Params | Collection | Priority | |--------|-------------|--------|-----------|----------| | `daily_cost_sum` | Total cost for all executions today | Aggregated per day | Post-exec (daily) | High | | `daily_cost_pct_of_budget` | % of daily budget consumed | Param: budget_usd_per_day | Post-exec (daily) | High | | `quota_consumed_today` | API quota consumed today | Per-API tracked | Post-exec (daily) | **Critical** | | `quota_renewal_date` | When quota resets (for free tiers) | Date | Config | Daily | High | | `days_until_quota_reset` | Days remaining until quota resets | Integer | Daily | Daily | Medium | | `projected_cost_end_of_month` | Extrapolated cost if execution rate continues | Float | $ USD | Post-exec (daily) | High |,evaluation-and-quality,idea,3.85,open,1,1,G:\repos\AI\RoadTrip\workflows\007-self-improvement\METRICS_CATALOG.md
IDEA-2869,| Metric | Description | Type | Units | Collection | Priority | |--------|-------------|------|-------|-----------|----------| | `total_latency_ms` | End-to-end execution time | Integer | Milliseconds | Post-exec | **Critical** | | `wall_clock_time_ms` | Real elapsed time (including I/O waits) | Integer | Milliseconds | Post-exec | High | | `cpu_time_ms` | Time spent in actual computation | Integer | Milliseconds | Post-exec | Medium | | `io_wait_time_ms` | Time spent waiting for I/O | Integer | Milliseconds | Post-exec | Medium | | `network_latency_ms` | Time spent on network round-trips | Integer | Milliseconds | Post-exec | Medium | | `time_to_first_result_ms` | Time until first meaningful output | Integer | Milliseconds | Post-exec | Medium |,evaluation-and-quality,idea,3.85,open,1,1,G:\repos\AI\RoadTrip\workflows\007-self-improvement\METRICS_CATALOG.md
IDEA-2870,"| Metric | Description | Params | Collection | Priority | |--------|-------------|--------|-----------|----------| | `latency_p50` | Median latency (50th percentile) | Time window (1h, 1d, 7d) | Post-exec (rolling) | **Critical** | | `latency_p95` | 95th percentile latency | Time window | Post-exec (rolling) | High | | `latency_p99` | 99th percentile latency | Time window | Post-exec (rolling) | High | | `latency_mean` | Average latency | Time window | Post-exec (rolling) | High | | `latency_std_dev` | Standard deviation of latency | Time window | Post-exec (rolling) | Medium | | `latency_trend` | Is latency improving or degrading? | Slope over time window | Post-exec (rolling) | High |",evaluation-and-quality,idea,3.85,open,1,1,G:\repos\AI\RoadTrip\workflows\007-self-improvement\METRICS_CATALOG.md
IDEA-2872,| Metric | Description | Type | Units | Collection | Priority | |--------|-------------|------|-------|-----------|----------| | `output_correct` | Output matches expected result (oracle-based) | Boolean | true/false | Post-exec | High | | `output_complete` | All expected outputs produced | Boolean | true/false | Post-exec | Medium | | `output_valid_format` | Output conforms to specified format | Boolean | true/false | Post-exec | High | | `confidence_score` | System's confidence in correctness (0-1) | Float | 0.0-1.0 | Post-exec | **Critical** | | `human_review_required` | Output flagged for human review | Boolean | true/false | Post-exec | High |,architecture-and-spec,idea,3.85,open,1,1,G:\repos\AI\RoadTrip\workflows\007-self-improvement\METRICS_CATALOG.md
IDEA-2875,| Metric | Description | Type | Units | Collection | Priority | |--------|-------------|------|-------|-----------|----------| | `free_tier_warnings_today` | # of near-quota warnings | Integer | Count | Post-exec (daily) | **Critical** | | `rate_limit_hit` | Execution hit API rate limit | Boolean | true/false | Post-exec | **Critical** | | `rate_limit_backoff_applied` | System backed off due to rate limit | Boolean | true/false | Post-exec | High | | `quota_exhaustion_imminent` | Free tier quota will run out today | Boolean | true/false | Post-exec (hourly) | **Critical** |,architecture-and-spec,idea,3.85,open,1,1,G:\repos\AI\RoadTrip\workflows\007-self-improvement\METRICS_CATALOG.md
IDEA-2876,"| Metric | Description | Type | Units | Collection | Priority | |--------|-------------|------|-------|-----------|----------| | `api_call_pattern_normal` | API calls follow expected pattern | Boolean | true/false | Post-exec | High | | `api_call_pattern_suspicious` | Unusual call frequency, destination, or payload | Boolean | true/false | Post-exec | **Critical** | | `authentication_error` | Auth token failed or expired | Boolean | true/false | Post-exec | **Critical** | | `unauthorized_access_attempt` | Attempted access to restricted resource | Boolean | true/false | Post-exec | **Critical** | | `fingerprint_verified` | Skill fingerprint matches known good | Boolean | true/false | Pre-exec | High | | `fingerprint_mismatch` | Skill fingerprint doesn't match baseline | Boolean | true/false | Pre-exec | **Critical** |",agent-workflow,idea,3.85,open,1,1,G:\repos\AI\RoadTrip\workflows\007-self-improvement\METRICS_CATALOG.md
IDEA-2877,"| Metric | Description | Type | Units | Collection | Priority | |--------|-------------|------|-------|-----------|----------| | `vendor_status` | Is external API healthy? | Enum | Up, Degraded, Down, Unknown | Pre-exec | High | | `vendor_status_changed` | Vendor status different from 1h ago | Boolean | true/false | Pre-exec | High | | `unusual_vendor_behavior` | API behaving unexpectedly (slow, rejecting, etc.) | Boolean | true/false | During/Post | Medium | | `skill_version_deployed` | Version hash of skill in use | String | SHA256 | Pre-exec | High | | `skill_modification_detected` | Skill code changed since last run | Boolean | true/false | Pre-exec | **Critical** |",agent-workflow,question,3.85,open,1,1,G:\repos\AI\RoadTrip\workflows\007-self-improvement\METRICS_CATALOG.md
IDEA-2878,"| Metric | Description | Type | Units | Collection | Priority | |--------|-------------|------|-------|-----------|----------| | `execution_id` | Unique identifier for this execution | UUID | String | Pre-exec | **Critical** | | `skill_name` | Which skill was executed | String | Name | Pre-exec | **Critical** | | `skill_version` | Version of the skill | String | Semantic | Pre-exec | **Critical** | | `timestamp_start` | When execution started | ISO8601 | DateTime | Pre-exec | **Critical** | | `timestamp_end` | When execution ended | ISO8601 | DateTime | Post-exec | **Critical** | | `operator` | Who triggered this execution (human or system) | String | Username/ID | Pre-exec | High | | `orchestrator_version` | Version of orchestrator in use | String | Semantic | Pre-exec | High | | `environment` | Execution environment | Enum | Local, Dev, Staging, Prod | Pre-exec | High |",agent-workflow,idea,3.85,open,1,1,G:\repos\AI\RoadTrip\workflows\007-self-improvement\METRICS_CATALOG.md
IDEA-2881,"| Metric | Description | Computed From | Cadence | Priority | |--------|-------------|---------------|---------|----------| | `system_reliability_score` | Weighted composite of all reliability metrics | Success rates + error recovery + uptime | Hourly | **Critical** | | `system_cost_efficiency_score` | Weighted composite of cost metrics | Token usage + cost targets + budget tracking | Daily | **Critical** | | `system_performance_score` | Weighted composite of speed metrics | Latencies + throughput + SLO compliance | Hourly | High | | `system_anomaly_score` | Deviation from baseline behavior | Zscore across all metrics | Real-time | **Critical** | | `system_health_index` | Overall system health (0-100) | Composite of reliability, cost, performance, security | Hourly | High |",architecture-and-spec,idea,3.85,open,1,1,G:\repos\AI\RoadTrip\workflows\007-self-improvement\METRICS_CATALOG.md
IDEA-2920,"**Future (2027+)**: - 🔲 **Config UI/UX** (reef cloners and heirs can adjust reward weights via GUI, not code) - Not critical; CLI and YAML work for technical users - Add when operational complexity warrants it - 🔲 **RAG for historical precedent** (end users see ""in 2026, similar situation occurred, here's what happened"") - Interesting but lower priority - Start simple: decision logs in JSON; query manually - Upgrade to RAG when query complexity justifies it - 🔲 **Slow mode** (operator reviews decision logs before system executes) - Useful for audit compliance or unusual operations - Not needed for standard operation or initial phases - Add if governance requirements demand it",architecture-and-spec,decision,3.85,open,1,1,G:\repos\AI\RoadTrip\workflows\007-self-improvement\PRIORITIES_AND_ROADMAP_REFINED.md
