idea_id,project,file_path,file_name,ext,confidence,theme,intent,excerpt
IDEA-0009,RoadTrip,G:\repos\AI\RoadTrip\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.75,agent-workflow,idea,#### Entry Points | File | Command | Purpose | |------|---------|---------| | [src/registry_builder.py](src/registry_builder.py) | `py src/registry_builder.py --build --force` | Scan skills and rebuild registry | | [src/agents/registry_agent.py](src/agents/registry_agent.py) | `py -m src.agents.registry_agent --list` | Manage skill registry (CRUD operations) | | [src/agents/fingerprint_agent.py](src/agents/fingerprint_agent.py) | `py -m src.agents.fingerprint_agent` | Calculate skill fingerprints for trust | | [scripts/discover_skills.py](scripts/discover_skills.py) | `py scripts/discover_skills.py` | Discover available skills |
IDEA-0009,ControlPlane,G:\repos\AI\ControlPlane\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.75,agent-workflow,idea,#### Entry Points | File | Command | Purpose | |------|---------|---------| | [src/registry_builder.py](src/registry_builder.py) | `py src/registry_builder.py --build --force` | Scan skills and rebuild registry | | [src/agents/registry_agent.py](src/agents/registry_agent.py) | `py -m src.agents.registry_agent --list` | Manage skill registry (CRUD operations) | | [src/agents/fingerprint_agent.py](src/agents/fingerprint_agent.py) | `py -m src.agents.fingerprint_agent` | Calculate skill fingerprints for trust | | [scripts/discover_skills.py](scripts/discover_skills.py) | `py scripts/discover_skills.py` | Discover available skills |
IDEA-0010,RoadTrip,G:\repos\AI\RoadTrip\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.75,agent-workflow,idea,#### Development Workflows 1. **Create New Skill**: - Add skill module to `src/skills/` or create package in `skills/` - Define `execute()` function with standard signature - Run `py src/registry_builder.py --build --force` - Verify with `py src/view_registry.py`
IDEA-0010,ControlPlane,G:\repos\AI\ControlPlane\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.75,agent-workflow,idea,#### Development Workflows 1. **Create New Skill**: - Add skill module to `src/skills/` or create package in `skills/` - Define `execute()` function with standard signature - Run `py src/registry_builder.py --build --force` - Verify with `py src/view_registry.py`
IDEA-0011,RoadTrip,G:\repos\AI\RoadTrip\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.75,agent-workflow,idea,2. **Create New Agent**: - Add agent to `src/agents/` - Define models in `*_models.py` - Implement `execute()` method - Add CLI interface in `main()`
IDEA-0011,ControlPlane,G:\repos\AI\ControlPlane\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.75,agent-workflow,idea,2. **Create New Agent**: - Add agent to `src/agents/` - Define models in `*_models.py` - Implement `execute()` method - Add CLI interface in `main()`
IDEA-0012,RoadTrip,G:\repos\AI\RoadTrip\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.7,agent-workflow,idea,3. **Create New Workflow**: - Define workflow in `workflows/{number}-{name}/` - Create YAML definition if needed - Use orchestrator to chain skills
IDEA-0012,ControlPlane,G:\repos\AI\ControlPlane\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.7,agent-workflow,idea,3. **Create New Workflow**: - Define workflow in `workflows/{number}-{name}/` - Create YAML definition if needed - Use orchestrator to chain skills
IDEA-0013,RoadTrip,G:\repos\AI\RoadTrip\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.55,architecture-and-spec,idea,"**What**: Detect errors, analyze causes, apply or suggest fixes **Who**: System itself (autonomous) **How**: Error handlers, known solutions, telemetry analysis"
IDEA-0013,ControlPlane,G:\repos\AI\ControlPlane\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.55,architecture-and-spec,idea,"**What**: Detect errors, analyze causes, apply or suggest fixes **Who**: System itself (autonomous) **How**: Error handlers, known solutions, telemetry analysis"
IDEA-0014,RoadTrip,G:\repos\AI\RoadTrip\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.55,architecture-and-spec,idea,"**What**: Acquire, vet, catalog, and enforce policies on code/skills **Who**: System (with human oversight) **How**: Fingerprinting, trust scoring, authorization checks"
IDEA-0014,ControlPlane,G:\repos\AI\ControlPlane\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.55,architecture-and-spec,idea,"**What**: Acquire, vet, catalog, and enforce policies on code/skills **Who**: System (with human oversight) **How**: Fingerprinting, trust scoring, authorization checks"
IDEA-0015,RoadTrip,G:\repos\AI\RoadTrip\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.7,agent-workflow,idea,**Orchestration & Workflows** - `src/orchestrator.py` - Main workflow engine - `src/orchestrate_blog_publish.py` - Blog publishing workflow - `src/publish_blog.py` - Interactive blog publisher
IDEA-0015,ControlPlane,G:\repos\AI\ControlPlane\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.7,agent-workflow,idea,**Orchestration & Workflows** - `src/orchestrator.py` - Main workflow engine - `src/orchestrate_blog_publish.py` - Blog publishing workflow - `src/publish_blog.py` - Interactive blog publisher
IDEA-0016,RoadTrip,G:\repos\AI\RoadTrip\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.7,memory-and-context,idea,"### Documentation - `README.md` - Project overview - `RUNNING_THE_PROJECT.md` - How to run (this file's companion) - `CODEBASE_MAP.md` - This file (navigation guide) - `CLAUDE.md` - Claude AI context & custom commands - `MEMORY.md` - Project memory & conventions - `docs/` - All design docs, ADRs, research - `workflows/` - Workflow plans and documentation"
IDEA-0016,ControlPlane,G:\repos\AI\ControlPlane\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.7,memory-and-context,idea,"### Documentation - `README.md` - Project overview - `RUNNING_THE_PROJECT.md` - How to run (this file's companion) - `CODEBASE_MAP.md` - This file (navigation guide) - `CLAUDE.md` - Claude AI context & custom commands - `MEMORY.md` - Project memory & conventions - `docs/` - All design docs, ADRs, research - `workflows/` - Workflow plans and documentation"
IDEA-0017,RoadTrip,G:\repos\AI\RoadTrip\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.7,agent-workflow,idea,**Files involved**: 1. `src/publish_blog.py` OR `src/orchestrate_blog_publish.py` - Entry point 2. `src/skills/blog_publisher.py` - Blog publishing skill 3. `config/blog-config.yaml` - Blog configuration 4. `src/orchestrator.py` - Workflow execution (if using orchestrate version)
IDEA-0017,ControlPlane,G:\repos\AI\ControlPlane\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.7,agent-workflow,idea,**Files involved**: 1. `src/publish_blog.py` OR `src/orchestrate_blog_publish.py` - Entry point 2. `src/skills/blog_publisher.py` - Blog publishing skill 3. `config/blog-config.yaml` - Blog configuration 4. `src/orchestrator.py` - Workflow execution (if using orchestrate version)
IDEA-0018,RoadTrip,G:\repos\AI\RoadTrip\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.9,memory-and-context,idea,"### ""I want to add a new skill"" 1. Create skill file in `src/skills/my_skill.py` 2. Implement `execute()` function: ```python def execute(context: dict) -> SkillResult: # Your logic here return SkillResult( skill_name=""my_skill"", status=""SUCCESS"", output={""result"": ""data""} ) ``` 3. Rebuild registry: ```bash python src/registry_builder.py --build --force ``` 4. Verify: ```bash python src/view_registry.py ```"
IDEA-0018,ControlPlane,G:\repos\AI\ControlPlane\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.9,memory-and-context,idea,"### ""I want to add a new skill"" 1. Create skill file in `src/skills/my_skill.py` 2. Implement `execute()` function: ```python def execute(context: dict) -> SkillResult: # Your logic here return SkillResult( skill_name=""my_skill"", status=""SUCCESS"", output={""result"": ""data""} ) ``` 3. Rebuild registry: ```bash python src/registry_builder.py --build --force ``` 4. Verify: ```bash python src/view_registry.py ```"
IDEA-0019,RoadTrip,G:\repos\AI\RoadTrip\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.7,agent-workflow,idea,"### ""I want to run a workflow"" ```bash python src/orchestrator.py ```"
IDEA-0019,ControlPlane,G:\repos\AI\ControlPlane\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.7,agent-workflow,idea,"### ""I want to run a workflow"" ```bash python src/orchestrator.py ```"
IDEA-0020,RoadTrip,G:\repos\AI\RoadTrip\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.7,agent-workflow,idea,**Files involved**: 1. `src/orchestrator.py` - Workflow engine 2. `src/skills/*.py` - Skills being chained 3. `config/skills-registry.yaml` - Skill metadata
IDEA-0020,ControlPlane,G:\repos\AI\ControlPlane\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.7,agent-workflow,idea,**Files involved**: 1. `src/orchestrator.py` - Workflow engine 2. `src/skills/*.py` - Skills being chained 3. `config/skills-registry.yaml` - Skill metadata
IDEA-0021,RoadTrip,G:\repos\AI\RoadTrip\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.7,architecture-and-spec,idea,"### ""I want to understand the architecture"" **Read in this order**: 1. `README.md` - High-level vision 2. `RUNNING_THE_PROJECT.md` - How to run 3. `CODEBASE_MAP.md` - This file (navigation) 4. `src/orchestrator.py` - Core execution logic 5. `workflows/PHASE_ARCHITECTURE_V1.md` - Architecture design 6. Skills in `src/skills/` - Individual capabilities"
IDEA-0021,ControlPlane,G:\repos\AI\ControlPlane\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.7,architecture-and-spec,idea,"### ""I want to understand the architecture"" **Read in this order**: 1. `README.md` - High-level vision 2. `RUNNING_THE_PROJECT.md` - How to run 3. `CODEBASE_MAP.md` - This file (navigation) 4. `src/orchestrator.py` - Core execution logic 5. `workflows/PHASE_ARCHITECTURE_V1.md` - Architecture design 6. Skills in `src/skills/` - Individual capabilities"
IDEA-0022,RoadTrip,G:\repos\AI\RoadTrip\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.7,memory-and-context,idea,"| Directory | Purpose | Key Files | |-----------|---------|-----------| | `src/` | Core application code | orchestrator.py, skills/, agents/ | | `scripts/` | Automation scripts | commit_and_push_updates.py, git_push.ps1 | | `config/` | Configuration files | skills-registry.yaml, *.yaml configs | | `skills/` | Skills as packages | auth-validator/, blog-publisher/, etc. | | `data/` | Runtime data | telemetry.jsonl, memory/, mcp_cache/ | | `docs/` | Documentation | ADRs, design docs, research | | `workflows/` | Workflow definitions | Numbered workflow directories | | `tests/` | Test files | test_*.py files | | `logs/` | Log files | execution_metrics.jsonl, push.log | | `governance/` | Governance docs | trust-model.md, policies | | `infra/` | Infrastructure | PowerShell profiles, configs | | `ProjectSecrets/` | Secret files (gitignored) | PAT.txt | | `PromptTracking/` | Session logs | Session Log [DATE].md |"
IDEA-0022,ControlPlane,G:\repos\AI\ControlPlane\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.7,memory-and-context,idea,"| Directory | Purpose | Key Files | |-----------|---------|-----------| | `src/` | Core application code | orchestrator.py, skills/, agents/ | | `scripts/` | Automation scripts | commit_and_push_updates.py, git_push.ps1 | | `config/` | Configuration files | skills-registry.yaml, *.yaml configs | | `skills/` | Skills as packages | auth-validator/, blog-publisher/, etc. | | `data/` | Runtime data | telemetry.jsonl, memory/, mcp_cache/ | | `docs/` | Documentation | ADRs, design docs, research | | `workflows/` | Workflow definitions | Numbered workflow directories | | `tests/` | Test files | test_*.py files | | `logs/` | Log files | execution_metrics.jsonl, push.log | | `governance/` | Governance docs | trust-model.md, policies | | `infra/` | Infrastructure | PowerShell profiles, configs | | `ProjectSecrets/` | Secret files (gitignored) | PAT.txt | | `PromptTracking/` | Session logs | Session Log [DATE].md |"
IDEA-0023,RoadTrip,G:\repos\AI\RoadTrip\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.7,agent-workflow,idea,| I want to... | Run this... | Which calls... | |--------------|-------------|----------------| | Push to GitHub | `gpush` | git_push.ps1 → commit_message skill | | Publish blog | `py src/publish_blog.py` | blog_publisher skill | | View skills | `py src/view_registry.py` | skills-registry.yaml | | Add new skill | Edit `src/skills/new.py` | Then run registry_builder.py | | Run workflow | `py src/orchestrator.py` | Skills from registry | | Check trust | `py scripts/generate_trust_scorecard.py` | fingerprint_agent | | Debug flows | Check `data/telemetry.jsonl` | Execution logs |
IDEA-0023,ControlPlane,G:\repos\AI\ControlPlane\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.7,agent-workflow,idea,| I want to... | Run this... | Which calls... | |--------------|-------------|----------------| | Push to GitHub | `gpush` | git_push.ps1 → commit_message skill | | Publish blog | `py src/publish_blog.py` | blog_publisher skill | | View skills | `py src/view_registry.py` | skills-registry.yaml | | Add new skill | Edit `src/skills/new.py` | Then run registry_builder.py | | Run workflow | `py src/orchestrator.py` | Skills from registry | | Check trust | `py scripts/generate_trust_scorecard.py` | fingerprint_agent | | Debug flows | Check `data/telemetry.jsonl` | Execution logs |
IDEA-0024,RoadTrip,G:\repos\AI\RoadTrip\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.7,agent-workflow,idea,1. **Start with entry points** - Files with `main()` are your starting points 2. **Follow the orchestrator** - `src/orchestrator.py` is the heart of execution 3. **Check the registry** - `config/skills-registry.yaml` shows all available skills 4. **Read skill code** - Each skill in `src/skills/` is self-contained 5. **Use grep/search** - Search for function names to find usages 6. **Check workflows/** - See example workflow definitions 7. **Read RUNNING_THE_PROJECT.md** - Companion to this file with detailed usage
IDEA-0024,ControlPlane,G:\repos\AI\ControlPlane\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.7,agent-workflow,idea,1. **Start with entry points** - Files with `main()` are your starting points 2. **Follow the orchestrator** - `src/orchestrator.py` is the heart of execution 3. **Check the registry** - `config/skills-registry.yaml` shows all available skills 4. **Read skill code** - Each skill in `src/skills/` is self-contained 5. **Use grep/search** - Search for function names to find usages 6. **Check workflows/** - See example workflow definitions 7. **Read RUNNING_THE_PROJECT.md** - Companion to this file with detailed usage
IDEA-0025,RoadTrip,G:\repos\AI\RoadTrip\COMMON_MISTAKES.md,COMMON_MISTAKES.md,.md,0.55,general,idea,"# Option 1: From ProjectSecrets (recommended) $env:GITHUB_TOKEN = Get-Content ""ProjectSecrets\PAT.txt"" -Raw"
IDEA-0025,ControlPlane,G:\repos\AI\ControlPlane\COMMON_MISTAKES.md,COMMON_MISTAKES.md,.md,0.55,general,idea,"# Option 1: From ProjectSecrets (recommended) $env:GITHUB_TOKEN = Get-Content ""ProjectSecrets\PAT.txt"" -Raw"
IDEA-0026,RoadTrip,G:\repos\AI\RoadTrip\COMMON_MISTAKES.md,COMMON_MISTAKES.md,.md,0.55,general,idea,# Option 2: From Windows Credential Manager # (Advanced: use Get-Secret cmdlet if configured)
IDEA-0026,ControlPlane,G:\repos\AI\ControlPlane\COMMON_MISTAKES.md,COMMON_MISTAKES.md,.md,0.55,general,idea,# Option 2: From Windows Credential Manager # (Advanced: use Get-Secret cmdlet if configured)
IDEA-0027,RoadTrip,G:\repos\AI\RoadTrip\COMMON_MISTAKES.md,COMMON_MISTAKES.md,.md,0.55,general,idea,"# Option 3: Set manually (for testing only) $env:GITHUB_TOKEN = ""github_pat_..."" ```"
IDEA-0027,ControlPlane,G:\repos\AI\ControlPlane\COMMON_MISTAKES.md,COMMON_MISTAKES.md,.md,0.55,general,idea,"# Option 3: Set manually (for testing only) $env:GITHUB_TOKEN = ""github_pat_..."" ```"
IDEA-0028,RoadTrip,G:\repos\AI\RoadTrip\COMMON_MISTAKES.md,COMMON_MISTAKES.md,.md,0.7,agent-workflow,idea,**The Fix:** ```bash # ✅ CORRECT workflow # 1. Make changes # 2. Run tests pytest tests/ -v
IDEA-0028,ControlPlane,G:\repos\AI\ControlPlane\COMMON_MISTAKES.md,COMMON_MISTAKES.md,.md,0.7,agent-workflow,idea,**The Fix:** ```bash # ✅ CORRECT workflow # 1. Make changes # 2. Run tests pytest tests/ -v
IDEA-0029,RoadTrip,G:\repos\AI\RoadTrip\COMMON_MISTAKES.md,COMMON_MISTAKES.md,.md,0.7,memory-and-context,idea,**Automation Opportunity:** Create script to auto-update MEMORY.md from completion reports.
IDEA-0029,ControlPlane,G:\repos\AI\ControlPlane\COMMON_MISTAKES.md,COMMON_MISTAKES.md,.md,0.7,memory-and-context,idea,**Automation Opportunity:** Create script to auto-update MEMORY.md from completion reports.
IDEA-0030,RoadTrip,G:\repos\AI\RoadTrip\COMMON_MISTAKES.md,COMMON_MISTAKES.md,.md,0.75,general,idea,**Solution:** ```powershell # 1. Check you're in RoadTrip directory pwd # Should show: G:\repos\AI\RoadTrip
IDEA-0030,ControlPlane,G:\repos\AI\ControlPlane\COMMON_MISTAKES.md,COMMON_MISTAKES.md,.md,0.75,general,idea,**Solution:** ```powershell # 1. Check you're in RoadTrip directory pwd # Should show: G:\repos\AI\RoadTrip
IDEA-0031,RoadTrip,G:\repos\AI\RoadTrip\COMMON_MISTAKES.md,COMMON_MISTAKES.md,.md,0.75,general,idea,"# Verify it loaded $env:GITHUB_TOKEN.Substring(0, 10) # Should show: github_pat"
IDEA-0031,ControlPlane,G:\repos\AI\ControlPlane\COMMON_MISTAKES.md,COMMON_MISTAKES.md,.md,0.75,general,idea,"# Verify it loaded $env:GITHUB_TOKEN.Substring(0, 10) # Should show: github_pat"
IDEA-0032,RoadTrip,G:\repos\AI\RoadTrip\COMMON_MISTAKES.md,COMMON_MISTAKES.md,.md,0.75,general,idea,"# If missing, generate them: py src/registry_builder.py --build --force pytest tests/ > test_results.txt ```"
IDEA-0032,ControlPlane,G:\repos\AI\ControlPlane\COMMON_MISTAKES.md,COMMON_MISTAKES.md,.md,0.75,general,idea,"# If missing, generate them: py src/registry_builder.py --build --force pytest tests/ > test_results.txt ```"
IDEA-0033,RoadTrip,G:\repos\AI\RoadTrip\COMMON_MISTAKES.md,COMMON_MISTAKES.md,.md,0.55,architecture-and-spec,idea,### System 2: Dev Dashboard Health Checks (Future)
IDEA-0033,ControlPlane,G:\repos\AI\ControlPlane\COMMON_MISTAKES.md,COMMON_MISTAKES.md,.md,0.55,architecture-and-spec,idea,### System 2: Dev Dashboard Health Checks (Future)
IDEA-0034,RoadTrip,G:\repos\AI\RoadTrip\COMMON_MISTAKES.md,COMMON_MISTAKES.md,.md,0.55,architecture-and-spec,idea,### System 3: Pre-flight Checks Script (Future)
IDEA-0034,ControlPlane,G:\repos\AI\ControlPlane\COMMON_MISTAKES.md,COMMON_MISTAKES.md,.md,0.55,architecture-and-spec,idea,### System 3: Pre-flight Checks Script (Future)
IDEA-0035,RoadTrip,G:\repos\AI\RoadTrip\CONTROL_PLANE_AGENT_SYSTEM.md,CONTROL_PLANE_AGENT_SYSTEM.md,.md,0.75,general,idea,"## Objective (Next 30 Days) Build a working self-improving software-generating program (hardened OpenClaw/OpenCraw-style assistant) that can reliably turn probabilistic research into deterministic, testable code artifacts."
IDEA-0035,RoadTrip,G:\repos\AI\RoadTrip\PromptTracking\Session Log 20260219.md,Session Log 20260219.md,.md,0.75,general,idea,"## Objective (Next 30 Days) Build a working self-improving software-generating program (hardened OpenClaw/OpenCraw-style assistant) that can reliably turn probabilistic research into deterministic, testable code artifacts."
IDEA-0035,ControlPlane,G:\repos\AI\ControlPlane\CONTROL_PLANE_AGENT_SYSTEM.md,CONTROL_PLANE_AGENT_SYSTEM.md,.md,0.75,general,idea,"## Objective (Next 30 Days) Build a working self-improving software-generating program (hardened OpenClaw/OpenCraw-style assistant) that can reliably turn probabilistic research into deterministic, testable code artifacts."
IDEA-0036,RoadTrip,G:\repos\AI\RoadTrip\CONTROL_PLANE_AGENT_SYSTEM.md,CONTROL_PLANE_AGENT_SYSTEM.md,.md,0.9,memory-and-context,problem,## Context I am managing a rapidly evolving AI engineering project and need a clearer operational system for: - Idea intake and memory progression - Research-to-plan conversion - Adversarial risk review - Code generation and testing - Governance and promotion gates
IDEA-0036,RoadTrip,G:\repos\AI\RoadTrip\PromptTracking\Session Log 20260219.md,Session Log 20260219.md,.md,0.9,memory-and-context,problem,## Context I am managing a rapidly evolving AI engineering project and need a clearer operational system for: - Idea intake and memory progression - Research-to-plan conversion - Adversarial risk review - Code generation and testing - Governance and promotion gates
IDEA-0036,ControlPlane,G:\repos\AI\ControlPlane\CONTROL_PLANE_AGENT_SYSTEM.md,CONTROL_PLANE_AGENT_SYSTEM.md,.md,0.9,memory-and-context,problem,## Context I am managing a rapidly evolving AI engineering project and need a clearer operational system for: - Idea intake and memory progression - Research-to-plan conversion - Adversarial risk review - Code generation and testing - Governance and promotion gates
IDEA-0037,RoadTrip,G:\repos\AI\RoadTrip\CONTROL_PLANE_AGENT_SYSTEM.md,CONTROL_PLANE_AGENT_SYSTEM.md,.md,0.7,memory-and-context,idea,"I want this workflow to support memory reliability, execution clarity, and repeatable quality."
IDEA-0037,RoadTrip,G:\repos\AI\RoadTrip\PromptTracking\Session Log 20260219.md,Session Log 20260219.md,.md,0.7,memory-and-context,idea,"I want this workflow to support memory reliability, execution clarity, and repeatable quality."
IDEA-0037,ControlPlane,G:\repos\AI\ControlPlane\CONTROL_PLANE_AGENT_SYSTEM.md,CONTROL_PLANE_AGENT_SYSTEM.md,.md,0.7,memory-and-context,idea,"I want this workflow to support memory reliability, execution clarity, and repeatable quality."
IDEA-0038,RoadTrip,G:\repos\AI\RoadTrip\CONTROL_PLANE_AGENT_SYSTEM.md,CONTROL_PLANE_AGENT_SYSTEM.md,.md,0.75,general,idea,## Locked Decisions 1. **Control-plane separation** - Assume project-management/control-plane should be a separate repo/program that can manage this and future workspaces.
IDEA-0038,RoadTrip,G:\repos\AI\RoadTrip\PromptTracking\Session Log 20260219.md,Session Log 20260219.md,.md,0.75,general,idea,## Locked Decisions 1. **Control-plane separation** - Assume project-management/control-plane should be a separate repo/program that can manage this and future workspaces.
IDEA-0038,ControlPlane,G:\repos\AI\ControlPlane\CONTROL_PLANE_AGENT_SYSTEM.md,CONTROL_PLANE_AGENT_SYSTEM.md,.md,0.75,general,idea,## Locked Decisions 1. **Control-plane separation** - Assume project-management/control-plane should be a separate repo/program that can manage this and future workspaces.
IDEA-0039,RoadTrip,G:\repos\AI\RoadTrip\CONTROL_PLANE_AGENT_SYSTEM.md,CONTROL_PLANE_AGENT_SYSTEM.md,.md,0.9,memory-and-context,idea,"## Workflow (Required) 1. Add idea to Prospective Memory. 2. AI performs fast research scan. 3. Human filters relevance. 4. AI performs deeper research. 5. Human + AI produce 10,000-ft opportunity plan. 6. Human + AI run adversarial evaluation (recurring, not one-time). 7. AI drafts PRD, constitution, governance, expectations. 8. AI executes plan with self-improvement loop. 9. Human defines verification strategy. 10. Human provides real-world data. 11. AI writes tests (unit → integration → e2e). 12. Human validates with real data and decides continue/pivot/stop."
IDEA-0039,RoadTrip,G:\repos\AI\RoadTrip\PromptTracking\Session Log 20260219.md,Session Log 20260219.md,.md,0.9,memory-and-context,idea,"## Workflow (Required) 1. Add idea to Prospective Memory. 2. AI performs fast research scan. 3. Human filters relevance. 4. AI performs deeper research. 5. Human + AI produce 10,000-ft opportunity plan. 6. Human + AI run adversarial evaluation (recurring, not one-time). 7. AI drafts PRD, constitution, governance, expectations. 8. AI executes plan with self-improvement loop. 9. Human defines verification strategy. 10. Human provides real-world data. 11. AI writes tests (unit → integration → e2e). 12. Human validates with real data and decides continue/pivot/stop."
